consulta,necesita_grafico,tipo_grafico
Necesito mostrar gráfico la frecuencia de compras,True,histograma
Obtener mostrame los transacciones por estado y grafica los resultados,1,barras
Sería posible transacciones por estado,True,barras
Consulta: muestrame los ventas por vendedor y presenta un gráfico,True,barras
Me gustaría presenta en gráfico la frecuencia de compras,True,histograma
Sería posible visualiza en un gráfico los transacciones por estado,True,barras
Me gustaría clientes inactivos en el sistema,True,barras
Ventas por temporada incluyendo gráfica,True,barras
Lista de todos los proveedores,0,ninguno
Mostrar ventas por temporada en gráfico lineal,True,lineal
Muestra los datos del cliente con DNI 12345678,0,ninguno
productos sin stock y haz un gráfico de pastel,1,circular
Podrías genera chart la frecuencia de compras,1,histograma
obten los clientes por grupo de edad y visualizalos en un gráfico?,True,barras
Necesito visualiza en un gráfico los ventas mensuales del último año,True,lineal
Mostrar genera chart la distribución de clientes,1,histograma
Dame grafica la evolución de precios,1,lineal
Compras realizadas al proveedor ID 5?,True,barras
haz gráfica la distribución de clientes,1,circular
Me gustaría resultados del trimestre,True,lineal
Sería posible presentar en gráfico las ventas mensuales,True,lineal
Solicito ventas por hora del día y gráfico,True,barras
Solicito muestra gráfico la frecuencia de compras,True,histograma
Quiero top 10 productos más vendidos y graficalo en barras,1,barras
compras por proveedor y muestra gráfico,1,circular
mostrar gráfico la participación de mercado,True,circular
presenta en gráfico los compras por proveedor,True,barras
Requiero productos de la categoría ropa,False,ninguno
Mostrar descuentos aplicados y muestra un gráfico de barras,True,barras
Compras por proveedor,1,barras
Mostrar visualizar la frecuencia de compras,1,histograma
ventas por hora del día y muestra gráfico,1,circular
muestrame los ventas por vendedor y presenta un gráfico por favor,True,barras
Me gustaría crear plot las ventas mensuales,1,lineal
Consulta: crear plot la correlación precio-ventas,1,dispersion
Obtener lista los productos por categoría y muestra un gráfico,True,barras
clientes registrados por mes y gráfico?,True,barras
Precios promedio por marca visualizado en línea,True,lineal
mostrar gráfico las ventas mensuales?,True,lineal
presenta en gráfico los descuentos aplicados,True,barras
Podrías extrae los compras por proveedor y haz un plot,1,barras
Requiero ventas por hora del día y gráfico,True,barras
VENTAS MENSUALES DEL ÚLTIMO AÑO CON GRÁFICO DE DISPERSIÓN,True,dispersion
Sería posible presenta en gráfico los movimientos de inventario,True,barras
Quiero productos por categoría y muestra un gráfico de barras,True,barras
Obtener transacciones rechazadas este mes,True,barras
Necesito stock por categoría agregando chart,1,barras
genera una gráfica de los productos por categoría,1,histograma
Requiero productos sin stock y muestra gráfico,True,barras
Quiero productos sin stock incluyendo gráfica,True,barras
